clean_id,height_network48_m,phase_sigma_network48_rad,roof_iqr_network48_m,support_points,ground_points,unwrap_valid_support_points,gamma_sbas_output_points,points_after_iqr,median_mean_coherence,height_network36_m,phase_sigma_network36_rad,roof_iqr_network36_m,network_height_difference_m,absolute_network_height_difference_m,insar_height_m,median_phase_sigma_rad,roof_height_iqr_m,solution_source,filled_from_prior,insar_only,paper_median_height_m,upper_plateau_applied,upper_plateau_point_jaccard,upper_plateau_network_difference_m,aggregation_extension,upper_plateau_uplift_m
112,11.634348392486572,0.1528370678424835,5.110054016113281,11,40,9,9,9.0,0.775311234096686,11.297951221466064,0.0323074012994766,5.858543395996094,-0.3363971710205078,0.3363971710205078,11.466149806976318,0.09257223457098,5.484298706054688,GAMMA_equal_network48_36_consensus,0,0,11.466149806976318,0,,,paper_IQR_median,0.0
115,18.36258542537689,0.2045608460903167,2.9747772216796875,6,40,5,5,5.0,0.7826966047286987,19.398207187652588,0.2996119558811188,2.509885787963867,1.0356217622756994,1.0356217622756994,18.88039630651474,0.2520864009857177,2.7423315048217773,GAMMA_equal_network48_36_consensus,0,0,18.88039630651474,0,,,paper_IQR_median,0.0
118,15.072941601276398,0.1235407367348671,1.444868564605713,13,40,12,12,11.0,0.8043577248851458,14.108223795890808,0.1154534108936786,1.2417006492614746,-0.9647178053855896,0.9647178053855896,14.590582698583605,0.1194970738142728,1.3432846069335938,GAMMA_equal_network48_36_consensus,0,0,14.590582698583605,0,,,paper_IQR_median,0.0
120,13.666087448596954,0.0411057099699974,0.5589931011199951,11,40,10,10,8.0,0.7902406944582859,13.241432070732117,0.1070328503847122,0.5732054710388184,-0.4246553778648376,0.4246553778648376,13.453759759664536,0.0740692801773548,0.5660992860794067,GAMMA_equal_network48_36_consensus,0,0,13.453759759664536,0,,,paper_IQR_median,0.0
127,19.03071439266205,0.1563859283924102,2.868514060974121,15,40,15,15,15.0,0.7825403138995171,17.81243884563446,0.1264196634292602,4.007820129394531,-1.218275547027588,1.218275547027588,18.42157661914825,0.1414027959108352,3.438167095184326,GAMMA_equal_network48_36_consensus,0,0,18.42157661914825,0,,,paper_IQR_median,0.0
134,17.189906999468803,0.2337252646684646,1.7371273040771484,22,40,20,20,19.0,0.78675876557827,17.1023917645216,0.1766452044248581,1.6627073287963867,-0.0875152349472045,0.0875152349472045,17.1461493819952,0.2051852345466613,1.6999173164367676,GAMMA_equal_network48_36_consensus,0,0,17.1461493819952,0,,,paper_IQR_median,0.0
135,16.13793360441923,0.1173956133425235,2.5503990650177,20,40,16,16,16.0,0.7656582646692792,17.4174717515707,0.1336747258901596,3.169656991958618,1.2795381471514702,1.2795381471514702,16.777702677994967,0.1255351696163415,2.860028028488159,GAMMA_equal_network48_36_consensus,0,0,16.777702677994967,0,,,paper_IQR_median,0.0
136,14.7141655087471,0.030517466366291,2.145149707794189,8,40,8,8,7.0,0.7977957874536514,13.631501078605652,0.1266004592180252,1.8910176753997805,-1.082664430141449,1.082664430141449,14.172833293676376,0.0785589627921581,2.018083691596985,GAMMA_equal_network48_36_consensus,0,0,14.172833293676376,0,,,paper_IQR_median,0.0
144,14.0292609333992,0.041455753147602,0.1810007095336914,5,40,5,5,4.0,0.7709035609538356,13.244776487350464,0.0630227085202932,0.3943376541137695,-0.7844844460487366,0.7844844460487366,13.637018710374832,0.0522392308339475,0.2876691818237304,GAMMA_equal_network48_36_consensus,0,0,13.637018710374832,0,,,paper_IQR_median,0.0
145,17.866052627563477,0.2640662789344787,5.035858392715454,13,40,13,13,4.0,0.785537221779426,19.214585304260254,0.1395893692970276,5.348273754119873,1.3485326766967773,1.3485326766967773,18.540318965911865,0.2713952697813511,1.75025475025177,GAMMA_equal_network48_36_consensus,0,0,14.642406582832336,1,1.0,1.3485326766967773,dual_network_spatial_upper_plateau,3.897912383079529
146,18.858859539031982,0.2080665379762649,6.9798338413238525,23,40,23,23,23.0,0.7650429736822844,17.06264066696167,0.309063971042633,4.963742971420288,-1.7962188720703125,1.7962188720703125,17.960750102996826,0.2585652545094489,5.97178840637207,GAMMA_equal_network48_36_consensus,0,0,17.960750102996826,0,,,paper_IQR_median,0.0
157,18.6665096282959,0.0817248150706291,5.597025871276856,18,40,17,17,10.0,0.7811047546565533,18.20176601409912,0.260185182094574,4.387646675109863,-0.46474361419677734,0.46474361419677734,18.43413782119751,0.17609269078820944,2.8315083980560303,GAMMA_equal_network48_36_consensus,0,0,16.51480609178543,1,1.0,0.46474361419677734,dual_network_spatial_upper_plateau,1.9193317294120789
160,22.03834223747253,0.3351122736930847,2.7242865562438965,64,40,60,60,59.0,0.7995932108412186,19.70663782954216,0.3182996660470962,3.7928872108459473,-2.3317044079303706,2.3317044079303706,20.872490033507347,0.3267059698700905,3.258586883544922,GAMMA_equal_network48_36_consensus,0,0,20.872490033507347,0,,,paper_IQR_median,0.0
161,17.894061915576458,0.1539580076932907,3.8672032356262207,47,40,47,47,47.0,0.7935001620401939,16.779509410262108,0.1754531860351562,2.924593448638916,-1.11455250531435,1.11455250531435,17.336785662919283,0.1647055968642234,3.3958983421325684,GAMMA_equal_network48_36_consensus,0,0,17.336785662919283,0,,,paper_IQR_median,0.0
163,17.81820934265852,0.2762379944324493,3.240018367767334,24,40,23,23,23.0,0.7867432379474243,18.055929705500603,0.2785715162754059,5.380937576293945,0.2377203628420829,0.2377203628420829,17.93706952407956,0.2774047553539276,4.31047797203064,GAMMA_equal_network48_36_consensus,0,0,17.93706952407956,0,,,paper_IQR_median,0.0
