building_uid,selected_pixel_count,iqr_retained_pixel_count,paper_text_median_m,original_code_range_m,robust_q95_q05_height_m,relative_height_q05_m,relative_height_q95_m,median_phase_residual_rms_rad,median_height_sigma_m,paper_text_median_45_m,robust_height_45_m,robust_height_network_difference_m,ground_ellipsoid_height_m,recommended_building_height_m,roof_ellipsoid_height_m,quality_pass,height_definition
59232,573,573,-13.613789558410645,71.67645645141602,55.0646484375,-30.04635009765625,25.01829833984375,2.6978976726531982,1.8949787616729736,-13.506244659423828,55.50213737487793,-0.43748893737793537,0.028666995465755463,55.0646484375,55.09331543296575,True,SBAS像元相对高差的P95-P05；非先验填充
59259,127,127,31.21999168395996,62.64835977554321,48.406156253814686,8.66027708053589,57.06643333435058,4.307648181915283,2.5574631690979004,31.130006790161133,48.30239353179931,0.10376272201537518,-4.20841646194458,48.406156253814686,44.197739791870106,True,SBAS像元相对高差的P95-P05；非先验填充
59260,50,49,-5.455955982208252,25.417484283447266,19.73212118148803,-13.596161413192748,6.135959768295281,3.2736806869506836,1.9816810488700867,-5.491236686706543,19.882631802558898,-0.1505106210708682,-5.77263069152832,19.73212118148803,13.959490489959709,True,SBAS像元相对高差的P95-P05；非先验填充
59431,82,82,42.763837814331055,72.6165771484375,58.522344034910226,1.729800969362259,60.252145004272485,2.8795437812805176,7.975425958633423,43.3376350402832,57.95411972403528,0.5682243108749461,1.084116816520691,58.522344034910226,59.60646085143092,True,SBAS像元相对高差的P95-P05；非先验填充
59444,55,44,44.3873348236084,75.26885569095612,69.29283144176006,0.36230542957782746,69.65513687133789,3.3535149097442627,6.491583824157715,41.393226623535156,65.93846798986196,3.354363451898095,1.2188584804534912,69.29283144176006,70.51168992221355,True,SBAS像元相对高差的P95-P05；非先验填充
59677,503,478,17.012739181518555,76.54428482055664,58.46286533474922,0.6658822238445282,59.128747558593744,2.861999273300171,3.1852216720581055,16.60206890106201,55.96686880588532,2.4959965288638983,-2.180771827697754,58.46286533474922,56.282093507051464,True,SBAS像元相对高差的P95-P05；非先验填充
61236,2,2,9.631776332855225,0.9576807022094727,0.861912631988524,9.200820016860963,10.062732648849487,0.24054253101348877,0.8516980707645416,9.65311336517334,0.8297389984130845,0.03217363357543945,-3.818075656890869,0.861912631988524,-2.956163024902345,False,SBAS像元相对高差的P95-P05；非先验填充
61237,10,8,-12.961790561676025,4.912997245788574,3.4507693290710435,-14.973200511932372,-11.522431182861329,2.1242271661758423,1.295215904712677,-12.862860202789307,3.3995121002197255,0.051257228851318004,-3.9186434745788574,3.4507693290710435,-0.4678741455078139,True,SBAS像元相对高差的P95-P05；非先验填充
61760,71,54,64.56449508666992,73.09621548652649,60.81634044647217,8.990738868713379,69.80707931518555,8.318558692932129,29.351173400878906,70.66454315185547,62.40798759460449,-1.5916471481323242,-7.043247699737549,60.81634044647217,53.77309274673462,False,SBAS像元相对高差的P95-P05；非先验填充
63246,7,7,6.835967063903809,30.307316780090332,27.042482328414913,-8.055168199539185,18.987314128875727,3.9917492866516113,11.762608528137207,11.862251281738281,32.9863823890686,-5.943900060653689,-3.782008647918701,27.042482328414913,23.26047368049621,False,SBAS像元相对高差的P95-P05；非先验填充
