building_uid,Floor,recommended_building_height_m,paper_text_median_m,original_code_range_m,quality_pass,floor_nominal_3m_audit_only,recommended_minus_nominal_m
106450,37,68.53159828186037,4.246920108795166,77.15051937103271,True,111.0,-42.46840171813963
108184,37,48.724428987503046,-19.04793357849121,96.67529296875,True,111.0,-62.275571012496954
108190,51,88.45730652809138,3.302408456802368,132.63879203796387,True,153.0,-64.54269347190862
110081,32,6.956169360876082,2.732455015182495,7.487094163894653,True,96.0,-89.04383063912391
110082,32,10.713948249816895,6.0178022384643555,18.6665078997612,True,96.0,-85.2860517501831
110115,32,48.47814567685128,14.03935432434082,64.43956351280212,True,96.0,-47.52185432314872
110116,32,41.17443542480468,25.064672470092773,61.17358684539795,True,96.0,-54.82556457519532
110117,32,40.28201905786992,21.387561798095703,60.85947346687317,True,96.0,-55.71798094213008
110145,32,43.74824805259705,10.112725734710693,56.13080406188965,True,96.0,-52.25175194740295
110146,32,15.832708263397217,12.921567440032959,18.90646266937256,False,96.0,-80.16729173660278
110147,32,56.36631002426147,18.480499267578125,83.40656185150146,False,96.0,-39.63368997573853
111783,32,22.10676871240139,-15.294035911560059,25.50811278820038,False,96.0,-73.89323128759861
111784,32,17.407807564735407,3.457947254180908,20.978057980537415,True,96.0,-78.5921924352646
111785,32,16.700829529762263,2.1971355676651,21.152118682861328,True,96.0,-79.29917047023774
111794,32,29.304017210006712,-3.1523187160491943,33.40977668762207,True,96.0,-66.69598278999328
111837,32,22.371293902397156,4.4608399868011475,24.227418899536133,True,96.0,-73.62870609760284
111838,32,14.53500382900238,10.10851764678955,15.107752203941345,True,96.0,-81.46499617099762
111839,32,11.00134493112564,8.424943685531616,12.412227869033813,False,96.0,-84.99865506887436
111846,32,54.19906899333,19.006711959838867,74.60767459869385,False,96.0,-41.80093100667
111847,32,83.99216967821121,38.91523742675781,92.71987867355347,True,96.0,-12.007830321788788
111848,32,56.36796951293945,7.6408538818359375,63.02749824523926,False,96.0,-39.63203048706055
111849,32,32.44233512878418,56.682701110839844,35.203792572021484,False,96.0,-63.55766487121582
111850,32,35.91921445280311,5.156626462936401,49.65989625453949,True,96.0,-60.08078554719689
111851,32,45.44226186256856,14.438350677490234,52.316169023513794,True,96.0,-50.55773813743144
113434,35,9.97624289970845,-4.067442178726196,11.441626604646444,False,105.0,-95.02375710029155
113446,32,6.806879866123197,3.48115873336792,9.618148803710938,True,96.0,-89.1931201338768
113447,32,13.887546610832214,1.2034155130386353,18.610785007476807,True,96.0,-82.11245338916778
113448,32,12.731597244739532,8.807612895965576,14.326304912567139,True,96.0,-83.26840275526047
113449,35,13.249859544634818,8.982402801513672,14.87453579902649,True,105.0,-91.75014045536518
115239,35,32.642157167196274,23.792766571044922,46.66424369812012,True,105.0,-72.35784283280373
115240,35,45.04099831581116,-11.249924778938293,49.3042631149292,True,105.0,-59.95900168418884
115241,35,88.83630118370057,32.407684326171875,108.14465618133545,True,105.0,-16.16369881629943
115253,35,49.06080102920532,-6.337083339691162,54.91055870056152,True,105.0,-55.93919897079468
115254,35,8.351848316192626,-21.981090545654297,9.642839431762695,False,105.0,-96.64815168380737
115255,35,93.9839439868927,23.415821075439453,102.35707426071167,True,105.0,-11.016056013107303
116828,33,71.25647926330566,32.642784118652344,85.84116077423096,True,99.0,-27.743520736694336
116837,33,61.57150478363037,58.553592681884766,91.63166618347168,True,99.0,-37.42849521636963
118168,35,11.738828659057617,21.894691467285156,12.581060409545898,False,105.0,-93.26117134094238
118169,35,5.914603996276856,15.738405227661133,7.10806941986084,True,105.0,-99.08539600372315
118170,35,22.078431701660154,1.1428767442703247,25.620197296142578,False,105.0,-82.92156829833985
